player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID
CH Morris,618.0,413.0,29.0,149.636803874092,107.0,2377.0,1801.0,300.1666666666667,7.91893392559689,Player_119
CJ Anderson,538.0,436.0,22.0,123.39449541284404,14.0,525.0,315.0,52.5,10.0,Player_120
CJ Dala,0.0,0.0,0.0,0.0,0.0,34.0,19.0,3.1666666666666665,10.736842105263158,Player_121
CJ Ferguson,98.0,119.0,6.0,82.35294117647058,0.0,0.0,0.0,0.0,0.0,Player_122
CJ Green,0.0,0.0,0.0,0.0,0.0,24.0,17.0,2.833333333333333,8.470588235294118,Player_123
CJ Jordan,75.0,68.0,7.0,110.29411764705884,33.0,870.0,577.0,96.16666666666669,9.04679376083189,Player_124
CJ McKay,8.0,15.0,1.0,53.333333333333336,1.0,60.0,42.0,7.0,8.571428571428571,Player_125
CK Kapugedera,16.0,24.0,3.0,66.66666666666666,0.0,49.0,17.0,2.833333333333333,17.294117647058822,Player_126
CK Langeveldt,8.0,9.0,2.0,88.88888888888889,13.0,199.0,165.0,27.5,7.236363636363636,Player_127
CL White,971.0,774.0,35.0,125.45219638242897,1.0,86.0,46.0,7.666666666666667,11.217391304347826,Player_128
CM Gautam,169.0,158.0,9.0,106.9620253164557,0.0,0.0,0.0,0.0,0.0,Player_129
CR Brathwaite,181.0,120.0,14.0,150.83333333333334,16.0,384.0,266.0,44.333333333333336,8.661654135338345,Player_130
CR Woakes,78.0,77.0,5.0,101.29870129870127,31.0,674.0,463.0,77.16666666666667,8.734341252699783,Player_131
CRD Fernando,4.0,3.0,1.0,133.33333333333331,19.0,306.0,249.0,41.5,7.373493975903615,Player_132
CV Varun,24.0,38.0,2.0,63.1578947368421,44.0,1186.0,992.0,165.33333333333334,7.173387096774193,Player_133
D Brevis,161.0,116.0,7.0,138.79310344827587,1.0,8.0,3.0,0.5,16.0,Player_134
D Kalyankrishna,3.0,8.0,1.0,37.5,2.0,88.0,50.0,8.333333333333334,10.56,Player_135
D Padikkal,1260.0,1057.0,45.0,119.20529801324504,0.0,0.0,0.0,0.0,0.0,Player_136
D Pretorius,44.0,28.0,4.0,157.14285714285714,7.0,213.0,138.0,23.0,9.26086956521739,Player_137
D Salunkhe,33.0,24.0,1.0,137.5,1.0,80.0,51.0,8.5,9.411764705882351,Player_138
D Wiese,127.0,94.0,5.0,135.1063829787234,17.0,409.0,289.0,48.16666666666666,8.491349480968859,Player_139
D du Preez,10.0,13.0,1.0,76.92307692307693,4.0,56.0,43.0,7.166666666666667,7.813953488372093,Player_140
DA Miller,2455.0,1838.0,69.0,133.56909684439609,0.0,0.0,0.0,0.0,0.0,Player_141
DA Warner,5883.0,4313.0,143.0,136.40157662879665,0.0,2.0,2.0,0.3333333333333333,6.0,Player_142
DAJ Bracewell,12.0,9.0,0.0,133.33333333333331,3.0,32.0,25.0,4.166666666666667,7.68,Player_143
DB Das,304.0,267.0,12.0,113.85767790262172,0.0,0.0,0.0,0.0,0.0,Player_144
